"id","name","address","phone","email","website","sub_district_id","nu_district_id","created_by","updated_by","created_at","updated_at","lat","long"
1,MWC NU Singaparna,Jln Raya Gedung Bupati Desa Sukaasih Kec. Singaparna,"082337300566",mwcnusingaparna@gmail.com,https://medianu.or.id/,3206190,64,1,24,"2020-01-13 20:38:07","2021-09-16 08:35:12","",""
2,MWC NU Tanjungjaya,KP. Warungbandung Desa. Cibalanarik Kec. Tanjungjaya,"087777103301",mwcnutanjungjaya21@gmail.com,https://medianu.or.id/,3206120,64,24,24,"2020-05-21 03:47:16","2021-09-16 08:36:32","",""
4,MWC NU Cimahi Selatan,Jl. Mukodar No. 7 RT. 01 RW. 08 Kelurahan Cibeureum Kecamatan Cimahi Selatan Kota Cimahi,"0818626392",mwcnucimahiselatan@gmail.com,"",3277010,83,21,21,"2020-05-21 08:22:50","2020-06-22 15:07:14",-6.9110661,"107.562896"
5,MWC NU Cimahi Tengah,"","","","",3277020,83,21,,"2020-05-21 08:23:47","2020-05-21 08:23:47","",""
6,MWC NU Cimahi Utara,"","","","",3277030,83,21,,"2020-05-21 08:31:20","2020-05-21 08:31:20","",""
7,MWC NU CIAMIS,Jalan KH. Wahid Hasyim No. 9 Ciamis 46211,"085223268819","","",3207210,65,26,26,"2020-05-21 11:43:30","2020-06-11 10:06:52",-7.325370,"108.3562196"
8,MWC NU CIKONENG,Jalan Kujang No. 345 Desa Kujang Kecamatan Cikoneng Kabupaten Ciamis 46261,"085221526130","","",3207220,65,26,26,"2020-05-21 11:46:26","2020-06-18 13:32:54",-7.3082827,"108.2705468"
9,MWC NU CIJEUNGJING,"Jln. Bojongsari Gg. Masjid, Desa Dewasari, Kec. Cijeungjing 46271","085323620029","","",3207150,65,26,26,"2020-05-21 11:48:14","2020-06-14 02:09:03",-7.327322,"108.375770"
11,MWC NU BAREGBEG,Jalan R. E. Martadinata KM. 4 Dusun Desa RT/RW 007/002 Desa Baregbeg Kec. Baregbeg Kab. Ciamis 46274,"085224408668","","",3207211,65,26,26,"2020-05-21 11:50:45","2020-06-16 13:50:24",--7.3026134,"108.3635622"
12,MWC NU SADANANYA,"Pondok Pesantren Al Huda,  Dusun Tonggoh RT/RW 002/001 Desa/Kecamatan Sadananya Kabupaten Ciamis","085223348500","","",3207240,65,26,26,"2020-05-21 11:52:02","2020-06-17 10:02:44","",""
13,MWC NU CIPAKU,Jl. Raya Kawali Dusun Kampung Kota Rt.013 Rw. 005 Desa Buniseuri Kecamatan Cipaku Kabupaten Ciamis 46252,"081221549692",mwcnucipaku@gmail.com,"",3207250,65,26,26,"2020-05-21 11:52:40","2020-06-16 10:36:41","",""
14,MWC NU CIMARAGAS,Jalan Banjar-Manonajaya Dsn. Pasirnangka Ds. Beber Kec. Cimaragas Kab. Ciamis,"6282295194348","","",3207140,65,26,26,"2020-05-21 11:54:04","2020-06-16 12:39:13",-7.3662577,"108.4320198"
15,MWC NU CIDOLOG,Dusun Bunirasa RT 04 RW 01 Desa Cidolog Kec. Cidolog Kab. Ciamis 46352 (Gedung Dakwah Islam Kec. Cidolog),"085223972513","","",3207130,65,26,26,"2020-05-21 11:54:40","2020-06-15 12:17:38","",""
16,MWC NU PAMARICAN,"Dusun Cisaar RT/RW 003/001, Desa Kertahayu, Kec. Pamarican, Kab. Ciamis","085292284493",mwcnu24pamarican@gmail.com,https://medianupamarican.com,3207120,65,26,26,"2020-05-21 11:56:27","2020-06-12 01:01:29",-7.4585739,"108.5596401"
17,MWC NU CISAGA,Pesantren Nurul Huda Dusun Cipurut Desa Cisaga Kec. Cisaga Kab. Ciamis 46386,"081323337901","","",3207160,65,26,26,"2020-05-21 11:57:13","2020-06-16 14:25:58","",""
18,MWC NU RANCAH,Pondok Pesantren Salafiyah Rijalul Ansor Dsn. Sukacai RT/RW 001/009 Desa Rancah Kecamatan Rancah Kabupaten Ciamis,"082311064149",mwcnurancah@gmail.com,"",3207180,65,26,26,"2020-05-21 11:58:13","2020-06-17 09:43:07","",""
19,MWC NU TAMBAKSARI,Dusun Samarang RT/RW 007/006 Desa Mekarsari Kec. Tambaksari Kab. Ciamis 46388,"628112113133","","",3207170,65,26,26,"2020-05-21 12:00:25","2020-06-16 13:48:07","",""
20,MWC NU BANJARSARI,Dusun Kubangpari RT 008 RW 005 Desa Ciherang Kec. Banjarsari Kab. Ciamis,"085317639459","","",3207100,65,26,26,"2020-05-21 12:01:26","2020-06-16 16:08:11","",""
21,MWC NU LAKBOK,Dusun Baregbeg RT/RW 020/005 Desa Baregbeg Kecamatan Lakbok Kabupaten Ciamis,"085220108654",mwcnulakbok01@gmail.com,"",3207110,65,26,26,"2020-05-21 12:10:05","2020-06-18 00:55:04","",""
22,MWC NU PURWADADI,"Jalan Panineungan Dusun Tangkeban RT/RW 035/007 Desa Purwadadi Kecamatan Purwadadi Kabupaten Ciamis 46286
  ","082317469289",mwcnupurwadadi26@gmail.com,"",3207111,65,26,26,"2020-05-21 12:12:05","2020-06-17 09:39:08","",""
23,MWC NU SUKADANA,Pasar Dongkal Dusun Desa RT/RW 005/001Desa Margaharja Kec. Sukadana Kab. Ciamis,"085220678035","","",3207200,65,26,26,"2020-05-21 12:21:44","2020-06-16 12:29:44",-7.2603087,"108.4453548"
24,MWC NU RAJADESA,Pondok Pesantren Salafiyah Manhajul Ulum Nusa Dusun Cigoong RT.02/RW 01 Desa Sirnabaya Kec. Rajadesa Kab. Ciamis,"085223435589","","",3207190,65,26,26,"2020-05-21 12:22:25","2020-06-17 10:25:47",-7.1799418,"108.4315"
25,MWC NU KAWALI,Jalan Raya Kawali-Panjalu No. 123 Desa Margamulya Kec. Kawali Kab. Ciamis,"08122221075","","",3207280,65,26,26,"2020-05-21 12:24:43","2020-06-14 01:43:18",-7.169111,"108.349390"
26,MWC NU JATINAGARA,Dusun Wetan No. 03 RT/RW 019/005 Desa Jatinagara Kec. Jatinagara Kab. Ciamis 46273,"085224586279",mwcnu.jatinagara@gmail.com,"",3207260,65,26,26,"2020-05-21 12:25:15","2020-06-11 12:47:56",-7.171939,"108.421557"
28,MWC NU BANJARANYAR,"Dusun Kaligamping, Desa Kalijaya, Kecamatan Banjaranyar, Kabupaten Ciamis","6281395406691","","",3279041,65,26,26,"2020-06-03 09:41:27","2020-06-23 10:47:51","",""
30,MWC NU PANUMBANGAN,"","","","",3207300,65,26,26,"2020-06-05 14:49:06","2020-06-14 13:36:31","",""
31,MWC NU PANAWANGAN,"","081312703838","","",3207270,65,26,26,"2020-06-05 14:49:08","2020-06-14 13:47:33","",""
33,MWC NU PANJALU,Jalan Pasanggrahan No. 245 Panjalu Kab. Ciamis 46264,"081320767730","","",3207290,65,26,26,"2020-06-05 14:52:19","2020-06-14 03:32:48",-7.133769,"108.269626"
34,MWC NU SUKAMANTRI,Pondok Pesantren Nurul Iman RT/RW 001/004 No. 11 Desa Sukamantri Kecamatan sukamantri Kabupaten Ciamis,"6281222997800","","",3207291,65,26,26,"2020-06-05 14:54:21","2020-06-17 09:50:06","",""
36,MWC NU CIHAURBEUTI,"SMK Ma'arif NU Cihaurbeuti, Jalan Cihaurbeuti No. 114 Desa Sukahaji Kec. Cihaurbeuti Kab. Ciamis 46262","082120789558","","",3207230,65,26,26,"2020-06-05 14:56:35","2020-06-15 12:33:01",-7.2638832,"108.1958709"
37,MWC NU LUMBUNG,Dusun Rawa RT/RW 001/002 Desa Rawa Kecamatan Lumbung Kabupaten Ciamis,"082120929020","","",3207281,65,26,26,"2020-06-05 14:58:11","2020-06-17 00:36:41","",""
38,MWCNU KECAMATAN CIGUGUR,"","","","",3218030,76,28,,"2020-06-05 15:33:02","2020-06-05 15:33:02","",""
40,MWCNU TANJUNGSARI,Jl. Nusa Indah No. 7 Situ RT. 03 RW. 02 Tanjungsari Sumedang 45362,"085361388399",mwcnutanjungsari99@gmail.com,"",3211030,69,22,22,"2020-06-07 16:12:58","2020-06-07 16:49:06",-6.7138982,"106.9336164"
41,MWCNU GANEAS,Jln. Rd. Umar Wirahadikusumah Km.01 Ganeas   45356 SUMEDANG,"081220336811","","",3211061,69,22,22,"2020-06-07 16:22:04","2020-06-17 01:49:29","-6.8717418,107","107.9546621"
42,MWC NU SINDANGKASIH,Dusun Margasari RT/RW 004/004 Desa Wanasigra Kec. Sindangkasih Kab. Ciamis 46268,"085223666748","","",3207221,65,26,26,"2020-06-08 10:37:46","2020-06-16 13:57:42",-7.3141357,"108.2625768"
43,MWCNU CICENDO,Citepus ll Rt 07/06 No 4 kel Pajajaran Kec Cicendo Kota Bandung,"085723820899",kbpermatahati004@gmail.com,"",3273190,79,19,19,"2020-06-09 12:52:57","2020-06-10 09:57:28","",""
44,MWCNU SUMUR BANDUNG,Jl.Lombok Blk No 6 Kel Merdeka,"081337462169",jadilebe2001@gmail.com,"",3273170,79,19,,"2020-06-11 05:20:54","2020-06-11 05:20:54","",""
45,MWCNU BANDUNG KULON,Alamat: Cigondewah Rahayu Rt.03 /Rw.04,"0817425177","","",3273010,79,19,19,"2020-06-12 13:14:26","2020-06-18 14:13:34","",""
